Date & Time,Temperature (°F)
"1/8/21, 5:02:26 PM",272
"1/8/21, 5:02:28 PM",273
"1/8/21, 5:02:31 PM",274
"1/8/21, 5:02:33 PM",275
"1/8/21, 5:02:35 PM",276
"1/8/21, 5:02:38 PM",276
"1/8/21, 5:02:38 PM",277
"1/8/21, 5:02:40 PM",278
"1/8/21, 5:02:42 PM",279
"1/8/21, 5:02:45 PM",280
"1/8/21, 5:02:47 PM",281
"1/8/21, 5:02:49 PM",282
"1/8/21, 5:02:52 PM",282
"1/8/21, 5:02:52 PM",283
"1/8/21, 5:02:54 PM",284
"1/8/21, 5:02:56 PM",285
"1/8/21, 5:02:59 PM",285
"1/8/21, 5:02:59 PM",286
"1/8/21, 5:03:01 PM",287
"1/8/21, 5:03:03 PM",288
"1/8/21, 5:03:06 PM",288
"1/8/21, 5:03:07 PM",289
"1/8/21, 5:03:09 PM",290
"1/8/21, 5:03:11 PM",291
"1/8/21, 5:03:14 PM",291
"1/8/21, 5:03:14 PM",292
"1/8/21, 5:03:16 PM",293
"1/8/21, 5:03:18 PM",294
"1/8/21, 5:03:21 PM",295
"1/8/21, 5:03:24 PM",295
"1/8/21, 5:03:24 PM",296
"1/8/21, 5:03:27 PM",296
"1/8/21, 5:03:27 PM",297
"1/8/21, 5:03:29 PM",298
"1/8/21, 5:03:30 PM",299
"1/8/21, 5:03:32 PM",300
"1/8/21, 5:03:35 PM",300
"1/8/21, 5:03:35 PM",301
"1/8/21, 5:03:38 PM",301
"1/8/21, 5:03:39 PM",302
"1/8/21, 5:03:40 PM",303
"1/8/21, 5:03:43 PM",303
"1/8/21, 5:03:43 PM",304
"1/8/21, 5:03:45 PM",305
"1/8/21, 5:03:46 PM",306
"1/8/21, 5:03:49 PM",306
"1/8/21, 5:03:49 PM",307
"1/8/21, 5:03:52 PM",307
"1/8/21, 5:03:52 PM",308
"1/8/21, 5:03:55 PM",309
"1/8/21, 5:03:58 PM",309
"1/8/21, 5:03:58 PM",310
"1/8/21, 5:03:59 PM",311
"1/8/21, 5:04:00 PM",310
"1/8/21, 5:04:01 PM",311
"1/8/21, 5:04:03 PM",312
